X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0.00527901,15.5002,3.2963
0.00528901,15.474,3.30332
0.00529901,15.4476,3.31028
0.00530901,15.421,3.31718
0.00531901,15.3942,3.32401
0.00532901,15.3672,3.33077
0.00533901,15.3399,3.33745
0.00534901,15.3124,3.34403
0.00535901,15.2847,3.35051
0.00536901,15.2568,3.35688
0.00537901,15.2287,3.36314
0.00538901,15.2004,3.36926
0.00539901,15.1718,3.37526
0.00540901,15.143,3.38112
0.00541901,15.1141,3.38684
0.00542901,15.0849,3.39241
0.00543901,15.0554,3.39783
0.00544901,15.0258,3.40311
0.00545901,14.996,3.40823
0.00546901,14.9659,3.41321
0.00547901,14.9356,3.41803
0.00548901,14.9051,3.4227
0.00549901,14.8745,3.42723
0.00550901,14.8435,3.43161
0.00551901,14.8124,3.43584
0.00552901,14.7811,3.43993
0.00553901,14.7496,3.44388
0.00554901,14.7178,3.44769
0.00555901,14.6859,3.45136
0.00556901,14.6537,3.45491
0.00557901,14.6213,3.45832
0.00558901,14.5887,3.4616
0.00559901,14.556,3.46476
0.00560901,14.523,3.4678
0.00561901,14.4898,3.47072
0.00562901,14.4563,3.47353
0.00563901,14.4227,3.47622
0.00564901,14.3889,3.47881
0.00565901,14.3549,3.48129
0.00566901,14.3207,3.48366
0.00567901,14.2862,3.48594
0.00568901,14.2516,3.48811
0.00569901,14.2168,3.4902
0.00570901,14.1817,3.49219
0.00571901,14.1465,3.49409
0.00572901,14.111,3.4959
0.00573901,14.0754,3.49763
0.00574901,14.0396,3.49928
0.00575901,14.0035,3.50085
0.00576901,13.9673,3.50234
0.00577901,13.9308,3.50376
0.00578901,13.8942,3.5051
0.00579901,13.8574,3.50638
0.00580901,13.8203,3.50759
0.00581901,13.7831,3.50873
0.00582901,13.7457,3.50981
0.00583901,13.7081,3.51082
0.00584901,13.6703,3.51178
0.00585901,13.6323,3.51268
0.00586901,13.5941,3.51352
0.00587901,13.5557,3.51431
0.00588901,13.5171,3.51504
0.00589901,13.4783,3.51573
0.00590901,13.4393,3.51636
0.00591901,13.4002,3.51695
0.00592901,13.3608,3.51749
0.00593901,13.3213,3.51798
0.00594901,13.2815,3.51843
0.00595901,13.2416,3.51884
0.00596901,13.2015,3.51921
0.00597901,13.1612,3.51954
0.00598901,13.1207,3.51983
0.00599901,13.0801,3.52008
0.00600901,13.0392,3.5203
0.00601901,12.9982,3.52048
0.00602901,12.9569,3.52062
0.00603901,12.9155,3.52074
0.00604901,12.8739,3.52082
0.00605901,12.8322,3.52087
0.00606901,12.7902,3.52089
0.00607901,12.7481,3.52089
0.00608901,12.7057,3.52085
0.00609901,12.6632,3.52079
0.00610901,12.6206,3.5207
0.00611901,12.5777,3.52058
0.00612901,12.5347,3.52044
0.00613901,12.4914,3.52027
0.00614901,12.448,3.52009
0.00615901,12.4045,3.51988
0.00616901,12.3607,3.51964
0.00617901,12.3168,3.51939
0.00618901,12.2727,3.51911
0.00619901,12.2284,3.51881
0.00620901,12.184,3.5185
0.00621901,12.1394,3.51816
0.00622901,12.0946,3.51781
0.00623901,12.0496,3.51744
0.00624901,12.0045,3.51705
0.00625901,11.9591,3.51664
0.00626901,11.9137,3.51622
0.00627901,11.868,3.51578
0.00628901,11.8222,3.51532
0.00629901,11.7762,3.51485
0.00630901,11.7301,3.51437
0.00631901,11.6838,3.51387
0.00632901,11.6373,3.51335
0.00633901,11.5906,3.51282
0.00634901,11.5438,3.51228
0.00635901,11.4968,3.51173
0.00636901,11.4497,3.51116
0.00637901,11.4024,3.51058
0.00638901,11.3549,3.50999
0.00639901,11.3073,3.50938
0.00640901,11.2595,3.50877
0.00641901,11.2116,3.50814
0.00642901,11.1635,3.5075
0.00643901,11.1152,3.50685
0.00644901,11.0668,3.50619
0.00645901,11.0182,3.50553
0.00646901,10.9694,3.50485
0.00647901,10.9206,3.50416
0.00648901,10.8715,3.50346
0.00649901,10.8223,3.50275
0.00650901,10.7729,3.50203
0.00651901,10.7234,3.5013
0.00652901,10.6738,3.50057
0.00653901,10.624,3.49982
0.00654901,10.574,3.49907
0.00655901,10.5239,3.49831
0.00656901,10.4736,3.49754
0.00657901,10.4232,3.49676
0.00658901,10.3726,3.49598
0.00659901,10.3219,3.49518
0.00660901,10.2711,3.49438
0.00661901,10.2201,3.49358
0.00662901,10.1689,3.49276
0.00663901,10.1176,3.49194
0.00664901,10.0662,3.49111
0.00665901,10.0146,3.49027
0.00666901,9.96289,3.48943
0.00667901,9.91103,3.48858
0.00668901,9.85902,3.48772
0.00669901,9.80688,3.48686
0.00670901,9.7546,3.48599
0.00671901,9.70217,3.48511
0.00672901,9.64961,3.48423
0.00673901,9.59692,3.48334
0.00674901,9.54408,3.48245
0.00675901,9.49111,3.48155
0.00676901,9.43801,3.48064
0.00677901,9.38477,3.47973
0.00678901,9.3314,3.47881
0.00679901,9.2779,3.47789
0.00680901,9.22426,3.47696
0.00681901,9.17049,3.47602
0.00682901,9.1166,3.47508
0.00683901,9.06257,3.47414
0.00684901,9.00842,3.47318
0.00685901,8.95413,3.47223
0.00686901,8.89972,3.47127
0.00687901,8.84518,3.4703
0.00688901,8.79052,3.46933
0.00689901,8.73573,3.46835
0.00690901,8.68082,3.46737
0.00691901,8.62578,3.46638
0.00692901,8.57063,3.46538
0.00693901,8.51535,3.46439
0.00694901,8.45995,3.46338
0.00695901,8.40442,3.46238
0.00696901,8.34878,3.46136
0.00697901,8.29302,3.46035
0.00698901,8.23715,3.45932
0.00699901,8.18115,3.4583
0.00700901,8.12504,3.45727
0.00701901,8.06882,3.45623
0.00702901,8.01248,3.45519
0.00703901,7.95602,3.45414
0.00704901,7.89945,3.45309
0.00705901,7.84277,3.45204
0.00706901,7.78598,3.45098
0.00707901,7.72908,3.44991
0.00708901,7.67207,3.44884
0.00709901,7.61495,3.44777
0.00710901,7.55772,3.44669
0.00711901,7.50038,3.44561
0.00712901,7.44294,3.44453
0.00713901,7.38539,3.44343
0.00714901,7.32774,3.44234
0.00715901,7.26998,3.44124
0.00716901,7.21212,3.44014
0.00717901,7.15415,3.43903
0.00718901,7.09609,3.43791
0.00719901,7.03792,3.4368
0.00720901,6.97966,3.43568
0.00721901,6.92129,3.43455
0.00722901,6.86283,3.43342
0.00723901,6.80427,3.43229
0.00724901,6.74561,3.43115
0.00725901,6.68685,3.43001
0.00726901,6.628,3.42886
0.00727901,6.56906,3.42771
0.00728901,6.51002,3.42656
0.00729901,6.4509,3.4254
0.00730901,6.39167,3.42424
0.00731901,6.33236,3.42307
0.00732901,6.27296,3.4219
0.00733901,6.21347,3.42073
0.00734901,6.15389,3.41955
0.00735901,6.09422,3.41837
0.00736901,6.03447,3.41718
0.00737901,5.97463,3.41599
0.00738901,5.91471,3.4148
0.00739901,5.8547,3.41361
0.00740901,5.79461,3.41241
0.00741901,5.73444,3.41121
0.00742901,5.67418,3.41001
0.00743901,5.61385,3.4088
0.00744901,5.55343,3.40759
0.00745901,5.49294,3.40638
0.00746901,5.43236,3.40517
0.00747901,5.37171,3.40395
0.00748901,5.31099,3.40273
0.00749901,5.25019,3.40152
0.00750901,5.18931,3.4003
0.00751901,5.12836,3.39908
0.00752901,5.06734,3.39786
0.00753901,5.00624,3.39664
0.00754901,4.94508,3.39542
0.00755901,4.88384,3.39421
0.00756901,4.82254,3.39299
0.00757901,4.76116,3.39178
0.00758901,4.69972,3.39058
0.00759901,4.63821,3.38938
0.00760901,4.57664,3.38818
0.00761901,4.515,3.387
0.00762901,4.45329,3.38582
0.00763901,4.39153,3.38465
0.00764901,4.3297,3.38349
0.00765901,4.26781,3.38234
0.00766901,4.20585,3.38121
0.00767901,4.14384,3.38009
0.00768901,4.08177,3.37899
0.00769901,4.01964,3.3779
0.00770901,3.95746,3.37683
0.00771901,3.89522,3.37577
0.00772901,3.83292,3.37473
0.00773901,3.77057,3.37371
0.00774901,3.70816,3.37271
0.00775901,3.64571,3.37172
0.00776901,3.5832,3.37075
0.00777901,3.52064,3.36979
